Audiofile,start,end,class
test.wav,0.0,0.12,background
test.wav,0.12,0.14,foreground
test.wav,0.14,0.15,background
test.wav,0.15,0.16,foreground
test.wav,0.16,0.17,background
test.wav,0.17,0.96,foreground
test.wav,0.96,0.97,background
test.wav,0.97,1.85,foreground
test.wav,1.85,1.86,background
test.wav,1.86,1.87,foreground
test.wav,1.87,1.88,background
test.wav,1.88,2.03,foreground
test.wav,2.03,2.42,background
test.wav,2.42,2.44,foreground
test.wav,2.44,2.49,background
test.wav,2.49,2.51,foreground
test.wav,2.51,2.52,background
test.wav,2.52,2.55,foreground
test.wav,2.55,2.57,background
test.wav,2.57,2.59,foreground
test.wav,2.59,2.61,background
test.wav,2.61,2.62,foreground
test.wav,2.62,2.64,background
test.wav,2.64,2.65,foreground
test.wav,2.65,2.66,background
test.wav,2.66,2.96,foreground
test.wav,2.96,2.98,background
test.wav,2.98,3.04,foreground
test.wav,3.04,3.05,background
test.wav,3.05,3.8,foreground
test.wav,3.8,3.81,background
test.wav,3.81,4.2,foreground
test.wav,4.2,4.21,background
test.wav,4.21,4.23,foreground
test.wav,4.23,4.24,background
test.wav,4.24,4.79,foreground
test.wav,4.79,4.8,background
test.wav,4.8,4.83,foreground
test.wav,4.83,4.85,background
test.wav,4.85,4.92,foreground
test.wav,4.92,4.93,background
test.wav,4.93,6.32,foreground
test.wav,6.32,6.33,background
test.wav,6.33,7.22,foreground
test.wav,7.22,7.23,background
test.wav,7.23,8.11,foreground
test.wav,8.11,8.12,background
test.wav,8.12,8.13,foreground
test.wav,8.13,8.26,background
test.wav,8.26,9.58,foreground
test.wav,9.58,9.65,background
test.wav,9.65,9.66,foreground
test.wav,9.66,9.68,background
test.wav,9.68,9.69,foreground
test.wav,9.69,9.71,background
test.wav,9.71,9.79,foreground
test.wav,9.79,9.81,background
test.wav,9.81,11.29,foreground
test.wav,11.29,11.3,background
test.wav,11.3,14.28,foreground
test.wav,14.28,14.29,background
test.wav,14.29,15.27,foreground
test.wav,15.27,15.28,background
test.wav,15.28,18.64,foreground
test.wav,18.64,18.65,background
test.wav,18.65,18.66,foreground
test.wav,18.66,18.67,background
test.wav,18.67,18.68,foreground
test.wav,18.68,18.69,background
test.wav,18.69,18.95,foreground
test.wav,18.95,18.96,background
test.wav,18.96,19.98,foreground
test.wav,19.98,19.99,background
test.wav,19.99,20.05,foreground
test.wav,20.05,20.06,background
test.wav,20.06,20.07,foreground
test.wav,20.07,20.08,background
test.wav,20.08,20.1,foreground
test.wav,20.1,20.12,background
test.wav,20.12,20.21,foreground
test.wav,20.21,20.22,background
test.wav,20.22,20.25,foreground
test.wav,20.25,20.26,background
test.wav,20.26,21.32,foreground
test.wav,21.32,21.33,background
test.wav,21.33,21.36,foreground
test.wav,21.36,21.43,background
test.wav,21.43,21.44,foreground
test.wav,21.44,21.46,background
test.wav,21.46,21.47,foreground
test.wav,21.47,21.48,background
test.wav,21.48,21.52,foreground
test.wav,21.52,21.54,background
test.wav,21.54,21.58,foreground
test.wav,21.58,21.59,background
test.wav,21.59,21.6,foreground
test.wav,21.6,21.61,background
test.wav,21.61,21.65,foreground
test.wav,21.65,21.67,background
test.wav,21.67,22.7,foreground
test.wav,22.7,22.73,background
test.wav,22.73,23.18,foreground
test.wav,23.18,23.19,background
test.wav,23.19,23.24,foreground
test.wav,23.24,23.25,background
test.wav,23.25,23.27,foreground
test.wav,23.27,23.28,background
test.wav,23.28,23.33,foreground
test.wav,23.33,23.34,background
test.wav,23.34,23.35,foreground
test.wav,23.35,23.36,background
test.wav,23.36,23.39,foreground
test.wav,23.39,23.42,background
test.wav,23.42,23.43,foreground
test.wav,23.43,23.44,background
test.wav,23.44,23.5,foreground
test.wav,23.5,23.51,background
test.wav,23.51,23.91,foreground
test.wav,23.91,23.92,background
test.wav,23.92,24.14,foreground
test.wav,24.14,24.17,background
test.wav,24.17,24.18,foreground
test.wav,24.18,24.2,background
test.wav,24.2,24.21,foreground
test.wav,24.21,24.29,background
test.wav,24.29,24.33,foreground
test.wav,24.33,24.36,background
test.wav,24.36,24.37,foreground
test.wav,24.37,24.39,background
test.wav,24.39,24.41,foreground
test.wav,24.41,24.42,background
test.wav,24.42,25.07,foreground
test.wav,25.07,25.08,background
